question_id,text,concept,sub_concept,difficulty,expected_answer
Q0098,Find x: 2x+3=11,Algebra,equations,2,varies
Q0099,Find x: 3x=15,Algebra,equations,2,varies
Q0100,Find x: 3x=15,Algebra,equations,3,varies
Q0101,Find x: x/2=4,Algebra,equations,3,varies
Q0102,Solve for x: x-5=10,Algebra,equations,3,varies
Q0103,Simplify: -5 + -3,Algebra,sign_rules,1,varies
Q0104,Evaluate: 6 - -3,Algebra,sign_rules,1,varies
Q0105,Calculate: -12 ÷ -3,Algebra,sign_rules,2,varies
Q0106,Evaluate: -5 + -3,Algebra,sign_rules,2,varies
Q0107,Evaluate: -5 + -3,Algebra,sign_rules,3,varies
Q0108,Evaluate: -12 ÷ -3,Algebra,sign_rules,3,varies
Q0109,How many sides does a cylinder have?,Geometry,2d_shapes,1,varies
Q0110,Which of these is a triangle?,Geometry,2d_shapes,1,varies
Q0111,Identify the shape: a shape with 4 equal sides,Geometry,2d_shapes,1,varies
Q0112,Which of these is a circle?,Geometry,2d_shapes,2,varies
Q0113,Which of these is a pyramid?,Geometry,2d_shapes,2,varies
Q0114,Identify the shape: a shape with 4 equal sides,Geometry,2d_shapes,2,varies
Q0115,Which of these is a hexagon?,Geometry,2d_shapes,3,varies
Q0116,How many sides does a triangle have?,Geometry,2d_shapes,3,varies
Q0117,Which of these is a square?,Geometry,2d_shapes,3,varies
Q0118,How many faces/edges/vertices does a sphere have?,Geometry,3d_shapes,1,varies
Q0119,Identify the 3D shape: a shape with 4 equal sides,Geometry,3d_shapes,1,varies
Q0120,Identify the 3D shape: a shape with 4 equal sides,Geometry,3d_shapes,2,varies
Q0121,Name the shape with 8 faces and 8 vertices,Geometry,3d_shapes,2,varies
Q0122,Name the shape with 8 faces and 8 vertices,Geometry,3d_shapes,3,varies
Q0123,How many faces/edges/vertices does a rectangle have?,Geometry,3d_shapes,3,varies
Q0124,Find the area of a rectangle with length 19 cm and breadth 4 cm,Geometry,area_perimeter,1,varies
Q0125,Find the perimeter of a square with side 11 cm,Geometry,area_perimeter,1,varies
Q0126,A rectangle has area 91 sq cm and length 12 cm. Find its breadth.,Geometry,area_perimeter,1,varies
Q0127,Find the perimeter of a square with side 10 cm,Geometry,area_perimeter,2,varies
Q0128,Find the perimeter of a square with side 15 cm,Geometry,area_perimeter,2,varies
Q0129,Find the area of a rectangle with length 15 cm and breadth 15 cm,Geometry,area_perimeter,2,varies
Q0130,Find the area of a rectangle with length 2 cm and breadth 7 cm,Geometry,area_perimeter,3,varies
Q0131,A rectangle has area 66 sq cm and length 10 cm. Find its breadth.,Geometry,area_perimeter,3,varies
Q0132,A rectangle has area 24 sq cm and length 15 cm. Find its breadth.,Geometry,area_perimeter,3,varies
Q0133,What type of angle is 135°?,Geometry,angles,1,varies
Q0134,Classify the angle: 60°,Geometry,angles,1,varies
Q0135,What type of angle is 135°?,Geometry,angles,2,varies
Q0136,What type of angle is 135°?,Geometry,angles,2,varies
Q0137,Classify the angle: 90°,Geometry,angles,3,varies
Q0138,What type of angle is 60°?,Geometry,angles,3,varies
Q0139,Draw the line of symmetry for circle,Geometry,symmetry,1,varies
Q0140,Draw the line of symmetry for pentagon,Geometry,symmetry,1,varies
Q0141,How many lines of symmetry does a cube have?,Geometry,symmetry,2,varies
Q0142,How many lines of symmetry does a pentagon have?,Geometry,symmetry,2,varies
Q0143,How many lines of symmetry does a pentagon have?,Geometry,symmetry,3,varies
Q0144,Is the figure symmetric? (Yes/No),Geometry,symmetry,3,varies
Q0145,Convert 2 km to m,Measurement,length,1,varies
Q0146,Convert 6 km to m,Measurement,length,1,varies
Q0147,Add: 7 m 87 cm + 9 m 43 cm,Measurement,length,1,varies
Q0148,Convert 2 m to cm,Measurement,length,2,varies
Q0149,Convert 3 km to m,Measurement,length,2,varies
Q0150,Add: 1 m 14 cm + 10 m 56 cm,Measurement,length,2,varies
Q0151,Convert 6 km to m,Measurement,length,3,varies
Q0152,Convert 10 km to m,Measurement,length,3,varies
Q0153,Add: 7 m 74 cm + 4 m 33 cm,Measurement,length,3,varies
Q0154,Convert 7 kg to g,Measurement,weight,1,varies
Q0155,Convert 9 kg to g,Measurement,weight,1,varies
Q0156,Total weight: 6 kg 56 g + 2 kg 86 g,Measurement,weight,2,varies
Q0157,Convert 10 g to kg,Measurement,weight,2,varies
Q0158,Convert 2 g to kg,Measurement,weight,3,varies
Q0159,Total weight: 9 kg 40 g + 7 kg 42 g,Measurement,weight,3,varies
Q0160,Convert 5 mL to L,Measurement,capacity,1,varies
Q0161,Total capacity: 4 L 54 mL + 7 L 87 mL,Measurement,capacity,1,varies
Q0162,Total capacity: 10 L 73 mL + 5 L 52 mL,Measurement,capacity,2,varies
Q0163,Total capacity: 5 L 37 mL + 4 L 56 mL,Measurement,capacity,2,varies
Q0164,Total capacity: 6 L 60 mL + 8 L 57 mL,Measurement,capacity,3,varies
Q0165,Total capacity: 9 L 61 mL + 3 L 85 mL,Measurement,capacity,3,varies
Q0166,Convert 5 hours to minutes,Measurement,time,1,varies
Q0167,What time is 10 minutes after 6:05?,Measurement,time,1,varies
Q0168,Convert 5 hours to minutes,Measurement,time,2,varies
Q0169,Convert 4 hours to minutes,Measurement,time,2,varies
Q0170,Convert 1 hours to minutes,Measurement,time,3,varies
Q0171,Convert 4 hours to minutes,Measurement,time,3,varies
Q0172,What is the total frequency in the table?,Data_Handling,tables,1,varies
Q0173,Find the missing value in the table,Data_Handling,tables,1,varies
Q0174,What is the total frequency in the table?,Data_Handling,tables,2,varies
Q0175,What is the total frequency in the table?,Data_Handling,tables,2,varies
Q0176,Find the missing value in the table,Data_Handling,tables,3,varies
Q0177,Find the missing value in the table,Data_Handling,tables,3,varies
Q0178,What is the value for Mangoes?,Data_Handling,bar_graphs,1,varies
Q0179,Which category has the highest value?,Data_Handling,bar_graphs,1,varies
Q0180,What is the value for Bananas?,Data_Handling,bar_graphs,2,varies
Q0181,How many more Apples than Bananas?,Data_Handling,bar_graphs,2,varies
Q0182,How many more Apples than Bananas?,Data_Handling,bar_graphs,3,varies
Q0183,What is the value for Apples?,Data_Handling,bar_graphs,3,varies
Q0184,"If one symbol represents 9, how many for Apples?",Data_Handling,pictographs,1,varies
Q0185,"If one symbol represents 10, how many for Mangoes?",Data_Handling,pictographs,1,varies
Q0186,Total count represented by the pictograph,Data_Handling,pictographs,2,varies
Q0187,Total count represented by the pictograph,Data_Handling,pictographs,2,varies
Q0188,Which category has 10 symbols?,Data_Handling,pictographs,3,varies
Q0189,Total count represented by the pictograph,Data_Handling,pictographs,3,varies
