response_id,student_id,assessment_id,question_id,student_answer,is_correct,error_type,created_at
R000048,Student_005,ASM001,Q0036,varies,True,,2025-08-05T00:00:00
R000049,Student_005,ASM001,Q0041,varies,True,,2025-08-05T00:00:00
R000050,Student_005,ASM001,Q0028,varies,True,,2025-08-05T00:00:00
R000051,Student_006,ASM001,Q0040,varies,True,,2025-08-05T00:00:00
R000052,Student_006,ASM001,Q0042,varies,True,,2025-08-05T00:00:00
R000053,Student_006,ASM001,Q0003,incorrect_arithmetic,False,arithmetic,2025-08-05T00:00:00
R000054,Student_006,ASM001,Q0049,incorrect_unit_conversion,False,unit_conversion,2025-08-05T00:00:00
R000055,Student_006,ASM001,Q0051,incorrect_careless,False,careless,2025-08-05T00:00:00
R000056,Student_006,ASM001,Q0045,varies,True,,2025-08-05T00:00:00
R000057,Student_006,ASM001,Q0034,varies,True,,2025-08-05T00:00:00
R000058,Student_006,ASM001,Q0036,varies,True,,2025-08-05T00:00:00
R000059,Student_006,ASM001,Q0041,varies,True,,2025-08-05T00:00:00
R000060,Student_006,ASM001,Q0028,varies,True,,2025-08-05T00:00:00
R000061,Student_007,ASM001,Q0040,varies,True,,2025-08-05T00:00:00
R000062,Student_007,ASM001,Q0042,varies,True,,2025-08-05T00:00:00
R000063,Student_007,ASM001,Q0003,varies,True,,2025-08-05T00:00:00
R000064,Student_007,ASM001,Q0049,varies,True,,2025-08-05T00:00:00
R000065,Student_007,ASM001,Q0051,varies,True,,2025-08-05T00:00:00
R000066,Student_007,ASM001,Q0045,incorrect_careless,False,careless,2025-08-05T00:00:00
R000067,Student_007,ASM001,Q0034,incorrect_careless,False,careless,2025-08-05T00:00:00
R000068,Student_007,ASM001,Q0036,varies,True,,2025-08-05T00:00:00
R000069,Student_007,ASM001,Q0041,varies,True,,2025-08-05T00:00:00
R000070,Student_007,ASM001,Q0028,incorrect_formula_selection,False,formula_selection,2025-08-05T00:00:00
R000071,Student_008,ASM001,Q0040,varies,True,,2025-08-05T00:00:00
R000072,Student_008,ASM001,Q0042,varies,True,,2025-08-05T00:00:00
R000073,Student_008,ASM001,Q0003,varies,True,,2025-08-05T00:00:00
R000074,Student_008,ASM001,Q0049,incorrect_unit_conversion,False,unit_conversion,2025-08-05T00:00:00
R000075,Student_008,ASM001,Q0051,varies,True,,2025-08-05T00:00:00
R000076,Student_008,ASM001,Q0045,incorrect_arithmetic,False,arithmetic,2025-08-05T00:00:00
R000077,Student_008,ASM001,Q0034,incorrect_careless,False,careless,2025-08-05T00:00:00
R000078,Student_008,ASM001,Q0036,varies,True,,2025-08-05T00:00:00
R000079,Student_008,ASM001,Q0041,varies,True,,2025-08-05T00:00:00
R000080,Student_008,ASM001,Q0028,varies,True,,2025-08-05T00:00:00
R000081,Student_009,ASM001,Q0040,varies,True,,2025-08-05T00:00:00
R000082,Student_009,ASM001,Q0042,varies,True,,2025-08-05T00:00:00
R000083,Student_009,ASM001,Q0003,varies,True,,2025-08-05T00:00:00
R000084,Student_009,ASM001,Q0049,varies,True,,2025-08-05T00:00:00
R000085,Student_009,ASM001,Q0051,incorrect_careless,False,careless,2025-08-05T00:00:00
R000086,Student_009,ASM001,Q0045,varies,True,,2025-08-05T00:00:00
R000087,Student_009,ASM001,Q0034,varies,True,,2025-08-05T00:00:00
R000088,Student_009,ASM001,Q0036,incorrect_conceptual,False,conceptual,2025-08-05T00:00:00
R000089,Student_009,ASM001,Q0041,varies,True,,2025-08-05T00:00:00
R000090,Student_009,ASM001,Q0028,varies,True,,2025-08-05T00:00:00
R000091,Student_010,ASM001,Q0040,varies,True,,2025-08-05T00:00:00
R000092,Student_010,ASM001,Q0042,varies,True,,2025-08-05T00:00:00
R000093,Student_010,ASM001,Q0003,varies,True,,2025-08-05T00:00:00
R000094,Student_010,ASM001,Q0049,incorrect_unit_conversion,False,unit_conversion,2025-08-05T00:00:00
R000095,Student_010,ASM001,Q0051,incorrect_careless,False,careless,2025-08-05T00:00:00
R000096,Student_010,ASM001,Q0045,incorrect_conceptual,False,conceptual,2025-08-05T00:00:00
R000097,Student_010,ASM001,Q0034,incorrect_conceptual,False,conceptual,2025-08-05T00:00:00
R000098,Student_010,ASM001,Q0036,varies,True,,2025-08-05T00:00:00
R000099,Student_010,ASM001,Q0041,incorrect_careless,False,careless,2025-08-05T00:00:00
R000100,Student_010,ASM001,Q0028,varies,True,,2025-08-05T00:00:00
R000101,Student_011,ASM001,Q0040,varies,True,,2025-08-05T00:00:00
R000102,Student_011,ASM001,Q0042,varies,True,,2025-08-05T00:00:00
R000103,Student_011,ASM001,Q0003,varies,True,,2025-08-05T00:00:00
R000104,Student_011,ASM001,Q0049,varies,True,,2025-08-05T00:00:00
R000105,Student_011,ASM001,Q0051,varies,True,,2025-08-05T00:00:00
R000106,Student_011,ASM001,Q0045,varies,True,,2025-08-05T00:00:00
R000107,Student_011,ASM001,Q0034,varies,True,,2025-08-05T00:00:00
R000108,Student_011,ASM001,Q0036,varies,True,,2025-08-05T00:00:00
R000109,Student_011,ASM001,Q0041,varies,True,,2025-08-05T00:00:00
R000110,Student_011,ASM001,Q0028,incorrect_conceptual,False,conceptual,2025-08-05T00:00:00
R000111,Student_012,ASM001,Q0040,varies,True,,2025-08-05T00:00:00
R000112,Student_012,ASM001,Q0042,varies,True,,2025-08-05T00:00:00
R000113,Student_012,ASM001,Q0003,varies,True,,2025-08-05T00:00:00
R000114,Student_012,ASM001,Q0049,varies,True,,2025-08-05T00:00:00
R000115,Student_012,ASM001,Q0051,varies,True,,2025-08-05T00:00:00
R000116,Student_012,ASM001,Q0045,varies,True,,2025-08-05T00:00:00
R000117,Student_012,ASM001,Q0034,varies,True,,2025-08-05T00:00:00
R000118,Student_012,ASM001,Q0036,varies,True,,2025-08-05T00:00:00
R000119,Student_012,ASM001,Q0041,varies,True,,2025-08-05T00:00:00
R000120,Student_012,ASM001,Q0028,varies,True,,2025-08-05T00:00:00
R000121,Student_013,ASM001,Q0040,varies,True,,2025-08-05T00:00:00
R000122,Student_013,ASM001,Q0042,varies,True,,2025-08-05T00:00:00
R000123,Student_013,ASM001,Q0003,varies,True,,2025-08-05T00:00:00
R000124,Student_013,ASM001,Q0049,varies,True,,2025-08-05T00:00:00
R000125,Student_013,ASM001,Q0051,varies,True,,2025-08-05T00:00:00
R000126,Student_013,ASM001,Q0045,varies,True,,2025-08-05T00:00:00
R000127,Student_013,ASM001,Q0034,varies,True,,2025-08-05T00:00:00
R000128,Student_013,ASM001,Q0036,incorrect_conceptual,False,conceptual,2025-08-05T00:00:00
R000129,Student_013,ASM001,Q0041,incorrect_careless,False,careless,2025-08-05T00:00:00
R000130,Student_013,ASM001,Q0028,varies,True,,2025-08-05T00:00:00
R000131,Student_014,ASM001,Q0040,varies,True,,2025-08-05T00:00:00
R000132,Student_014,ASM001,Q0042,varies,True,,2025-08-05T00:00:00
R000133,Student_014,ASM001,Q0003,varies,True,,2025-08-05T00:00:00
R000134,Student_014,ASM001,Q0049,incorrect_unit_conversion,False,unit_conversion,2025-08-05T00:00:00
R000135,Student_014,ASM001,Q0051,varies,True,,2025-08-05T00:00:00
R000136,Student_014,ASM001,Q0045,varies,True,,2025-08-05T00:00:00
R000137,Student_014,ASM001,Q0034,varies,True,,2025-08-05T00:00:00
R000138,Student_014,ASM001,Q0036,varies,True,,2025-08-05T00:00:00
R000139,Student_014,ASM001,Q0041,incorrect_arithmetic,False,arithmetic,2025-08-05T00:00:00
R000140,Student_014,ASM001,Q0028,varies,True,,2025-08-05T00:00:00
R000141,Student_015,ASM001,Q0040,incorrect_conceptual,False,conceptual,2025-08-05T00:00:00
R000142,Student_015,ASM001,Q0042,varies,True,,2025-08-05T00:00:00
R000143,Student_015,ASM001,Q0003,incorrect_denominator_handling,False,denominator_handling,2025-08-05T00:00:00
R000144,Student_015,ASM001,Q0049,varies,True,,2025-08-05T00:00:00
R000145,Student_015,ASM001,Q0051,varies,True,,2025-08-05T00:00:00
R000146,Student_015,ASM001,Q0045,varies,True,,2025-08-05T00:00:00
R000147,Student_015,ASM001,Q0034,varies,True,,2025-08-05T00:00:00
R000148,Student_015,ASM001,Q0036,incorrect_conceptual,False,conceptual,2025-08-05T00:00:00
R000149,Student_015,ASM001,Q0041,incorrect_arithmetic,False,arithmetic,2025-08-05T00:00:00
R000150,Student_015,ASM001,Q0028,incorrect_careless,False,careless,2025-08-05T00:00:00
R000151,Student_016,ASM001,Q0040,varies,True,,2025-08-05T00:00:00
R000152,Student_016,ASM001,Q0042,incorrect_careless,False,careless,2025-08-05T00:00:00
R000153,Student_016,ASM001,Q0003,incorrect_simplification,False,simplification,2025-08-05T00:00:00
R000154,Student_016,ASM001,Q0049,incorrect_arithmetic,False,arithmetic,2025-08-05T00:00:00
R000155,Student_016,ASM001,Q0051,varies,True,,2025-08-05T00:00:00
R000156,Student_016,ASM001,Q0045,varies,True,,2025-08-05T00:00:00
R000157,Student_016,ASM001,Q0034,incorrect_conceptual,False,conceptual,2025-08-05T00:00:00
R000158,Student_016,ASM001,Q0036,varies,True,,2025-08-05T00:00:00
R000159,Student_016,ASM001,Q0041,varies,True,,2025-08-05T00:00:00
R000160,Student_016,ASM001,Q0028,varies,True,,2025-08-05T00:00:00
R000161,Student_017,ASM001,Q0040,varies,True,,2025-08-05T00:00:00
R000162,Student_017,ASM001,Q0042,varies,True,,2025-08-05T00:00:00
R000163,Student_017,ASM001,Q0003,varies,True,,2025-08-05T00:00:00
R000164,Student_017,ASM001,Q0049,varies,True,,2025-08-05T00:00:00
R000165,Student_017,ASM001,Q0051,varies,True,,2025-08-05T00:00:00
R000166,Student_017,ASM001,Q0045,varies,True,,2025-08-05T00:00:00
R000167,Student_017,ASM001,Q0034,varies,True,,2025-08-05T00:00:00
R000168,Student_017,ASM001,Q0036,varies,True,,2025-08-05T00:00:00
R000169,Student_017,ASM001,Q0041,varies,True,,2025-08-05T00:00:00
R000170,Student_017,ASM001,Q0028,varies,True,,2025-08-05T00:00:00
R000171,Student_018,ASM001,Q0040,varies,True,,2025-08-05T00:00:00
R000172,Student_018,ASM001,Q0042,varies,True,,2025-08-05T00:00:00
R000173,Student_018,ASM001,Q0003,incorrect_denominator_handling,False,denominator_handling,2025-08-05T00:00:00
R000174,Student_018,ASM001,Q0049,incorrect_arithmetic,False,arithmetic,2025-08-05T00:00:00
R000175,Student_018,ASM001,Q0051,varies,True,,2025-08-05T00:00:00
R000176,Student_018,ASM001,Q0045,varies,True,,2025-08-05T00:00:00
R000177,Student_018,ASM001,Q0034,incorrect_careless,False,careless,2025-08-05T00:00:00
R000178,Student_018,ASM001,Q0036,incorrect_careless,False,careless,2025-08-05T00:00:00
R000179,Student_018,ASM001,Q0041,varies,True,,2025-08-05T00:00:00
R000180,Student_018,ASM001,Q0028,varies,True,,2025-08-05T00:00:00
R000181,Student_019,ASM001,Q0040,varies,True,,2025-08-05T00:00:00
R000182,Student_019,ASM001,Q0042,varies,True,,2025-08-05T00:00:00
R000183,Student_019,ASM001,Q0003,varies,True,,2025-08-05T00:00:00
R000184,Student_019,ASM001,Q0049,varies,True,,2025-08-05T00:00:00
R000185,Student_019,ASM001,Q0051,varies,True,,2025-08-05T00:00:00
R000186,Student_019,ASM001,Q0045,varies,True,,2025-08-05T00:00:00
R000187,Student_019,ASM001,Q0034,varies,True,,2025-08-05T00:00:00
R000188,Student_019,ASM001,Q0036,varies,True,,2025-08-05T00:00:00
R000189,Student_019,ASM001,Q0041,varies,True,,2025-08-05T00:00:00
R000190,Student_019,ASM001,Q0028,varies,True,,2025-08-05T00:00:00
R000191,Student_020,ASM001,Q0040,varies,True,,2025-08-05T00:00:00
R000192,Student_020,ASM001,Q0042,varies,True,,2025-08-05T00:00:00
R000193,Student_020,ASM001,Q0003,incorrect_denominator_handling,False,denominator_handling,2025-08-05T00:00:00
R000194,Student_020,ASM001,Q0049,varies,True,,2025-08-05T00:00:00
R000195,Student_020,ASM001,Q0051,incorrect_unit_conversion,False,unit_conversion,2025-08-05T00:00:00
R000196,Student_020,ASM001,Q0045,varies,True,,2025-08-05T00:00:00
R000197,Student_020,ASM001,Q0034,varies,True,,2025-08-05T00:00:00
R000198,Student_020,ASM001,Q0036,varies,True,,2025-08-05T00:00:00
R000199,Student_020,ASM001,Q0041,incorrect_careless,False,careless,2025-08-05T00:00:00
R000200,Student_020,ASM001,Q0028,varies,True,,2025-08-05T00:00:00
R000201,Student_001,ASM002,Q0037,varies,True,,2025-08-26T00:00:00
R000202,Student_001,ASM002,Q0001,varies,True,,2025-08-26T00:00:00
R000203,Student_001,ASM002,Q0048,varies,True,,2025-08-26T00:00:00
R000204,Student_001,ASM002,Q0056,varies,True,,2025-08-26T00:00:00
R000205,Student_001,ASM002,Q0024,varies,True,,2025-08-26T00:00:00
R000206,Student_001,ASM002,Q0047,varies,True,,2025-08-26T00:00:00
R000207,Student_001,ASM002,Q0036,incorrect_formula_selection,False,formula_selection,2025-08-26T00:00:00
R000208,Student_001,ASM002,Q0029,varies,True,,2025-08-26T00:00:00
R000209,Student_001,ASM002,Q0050,varies,True,,2025-08-26T00:00:00
R000210,Student_001,ASM002,Q0033,varies,True,,2025-08-26T00:00:00
R000211,Student_002,ASM002,Q0037,varies,True,,2025-08-26T00:00:00
R000212,Student_002,ASM002,Q0001,varies,True,,2025-08-26T00:00:00
R000213,Student_002,ASM002,Q0048,varies,True,,2025-08-26T00:00:00
R000214,Student_002,ASM002,Q0056,incorrect_careless,False,careless,2025-08-26T00:00:00
R000215,Student_002,ASM002,Q0024,varies,True,,2025-08-26T00:00:00
R000216,Student_002,ASM002,Q0047,varies,True,,2025-08-26T00:00:00
R000217,Student_002,ASM002,Q0036,varies,True,,2025-08-26T00:00:00
R000218,Student_002,ASM002,Q0029,varies,True,,2025-08-26T00:00:00
R000219,Student_002,ASM002,Q0050,varies,True,,2025-08-26T00:00:00
R000220,Student_002,ASM002,Q0033,varies,True,,2025-08-26T00:00:00
R000221,Student_003,ASM002,Q0037,incorrect_arithmetic,False,arithmetic,2025-08-26T00:00:00
R000222,Student_003,ASM002,Q0001,incorrect_denominator_handling,False,denominator_handling,2025-08-26T00:00:00
R000223,Student_003,ASM002,Q0048,incorrect_unit_conversion,False,unit_conversion,2025-08-26T00:00:00
R000224,Student_003,ASM002,Q0056,varies,True,,2025-08-26T00:00:00
R000225,Student_003,ASM002,Q0024,varies,True,,2025-08-26T00:00:00
R000226,Student_003,ASM002,Q0047,varies,True,,2025-08-26T00:00:00
R000227,Student_003,ASM002,Q0036,varies,True,,2025-08-26T00:00:00
R000228,Student_003,ASM002,Q0029,varies,True,,2025-08-26T00:00:00
R000229,Student_003,ASM002,Q0050,incorrect_arithmetic,False,arithmetic,2025-08-26T00:00:00
R000230,Student_003,ASM002,Q0033,varies,True,,2025-08-26T00:00:00
R000231,Student_004,ASM002,Q0037,varies,True,,2025-08-26T00:00:00
R000232,Student_004,ASM002,Q0001,incorrect_denominator_handling,False,denominator_handling,2025-08-26T00:00:00
R000233,Student_004,ASM002,Q0048,varies,True,,2025-08-26T00:00:00
R000234,Student_004,ASM002,Q0056,varies,True,,2025-08-26T00:00:00
R000235,Student_004,ASM002,Q0024,varies,True,,2025-08-26T00:00:00
R000236,Student_004,ASM002,Q0047,varies,True,,2025-08-26T00:00:00
R000237,Student_004,ASM002,Q0036,incorrect_arithmetic,False,arithmetic,2025-08-26T00:00:00
R000238,Student_004,ASM002,Q0029,varies,True,,2025-08-26T00:00:00
R000239,Student_004,ASM002,Q0050,varies,True,,2025-08-26T00:00:00
R000240,Student_004,ASM002,Q0033,varies,True,,2025-08-26T00:00:00
R000241,Student_005,ASM002,Q0037,varies,True,,2025-08-26T00:00:00
R000242,Student_005,ASM002,Q0001,varies,True,,2025-08-26T00:00:00
R000243,Student_005,ASM002,Q0048,varies,True,,2025-08-26T00:00:00
R000244,Student_005,ASM002,Q0056,varies,True,,2025-08-26T00:00:00
R000245,Student_005,ASM002,Q0024,varies,True,,2025-08-26T00:00:00
R000246,Student_005,ASM002,Q0047,varies,True,,2025-08-26T00:00:00
R000247,Student_005,ASM002,Q0036,varies,True,,2025-08-26T00:00:00
R000248,Student_005,ASM002,Q0029,varies,True,,2025-08-26T00:00:00
R000249,Student_005,ASM002,Q0050,varies,True,,2025-08-26T00:00:00
R000250,Student_005,ASM002,Q0033,varies,True,,2025-08-26T00:00:00
R000251,Student_006,ASM002,Q0037,varies,True,,2025-08-26T00:00:00
R000252,Student_006,ASM002,Q0001,varies,True,,2025-08-26T00:00:00
R000253,Student_006,ASM002,Q0048,varies,True,,2025-08-26T00:00:00
R000254,Student_006,ASM002,Q0056,varies,True,,2025-08-26T00:00:00
R000255,Student_006,ASM002,Q0024,varies,True,,2025-08-26T00:00:00
R000256,Student_006,ASM002,Q0047,varies,True,,2025-08-26T00:00:00
R000257,Student_006,ASM002,Q0036,varies,True,,2025-08-26T00:00:00
R000258,Student_006,ASM002,Q0029,varies,True,,2025-08-26T00:00:00
R000259,Student_006,ASM002,Q0050,varies,True,,2025-08-26T00:00:00
R000260,Student_006,ASM002,Q0033,varies,True,,2025-08-26T00:00:00
R000261,Student_007,ASM002,Q0037,varies,True,,2025-08-26T00:00:00
R000262,Student_007,ASM002,Q0001,varies,True,,2025-08-26T00:00:00
R000263,Student_007,ASM002,Q0048,varies,True,,2025-08-26T00:00:00
R000264,Student_007,ASM002,Q0056,varies,True,,2025-08-26T00:00:00
R000265,Student_007,ASM002,Q0024,varies,True,,2025-08-26T00:00:00
R000266,Student_007,ASM002,Q0047,varies,True,,2025-08-26T00:00:00
R000267,Student_007,ASM002,Q0036,incorrect_careless,False,careless,2025-08-26T00:00:00
R000268,Student_007,ASM002,Q0029,incorrect_formula_selection,False,formula_selection,2025-08-26T00:00:00
R000269,Student_007,ASM002,Q0050,varies,True,,2025-08-26T00:00:00
R000270,Student_007,ASM002,Q0033,varies,True,,2025-08-26T00:00:00
R000271,Student_008,ASM002,Q0037,varies,True,,2025-08-26T00:00:00
R000272,Student_008,ASM002,Q0001,varies,True,,2025-08-26T00:00:00
R000273,Student_008,ASM002,Q0048,varies,True,,2025-08-26T00:00:00
R000274,Student_008,ASM002,Q0056,incorrect_arithmetic,False,arithmetic,2025-08-26T00:00:00
R000275,Student_008,ASM002,Q0024,varies,True,,2025-08-26T00:00:00
R000276,Student_008,ASM002,Q0047,varies,True,,2025-08-26T00:00:00
R000277,Student_008,ASM002,Q0036,varies,True,,2025-08-26T00:00:00
R000278,Student_008,ASM002,Q0029,varies,True,,2025-08-26T00:00:00
R000279,Student_008,ASM002,Q0050,varies,True,,2025-08-26T00:00:00
R000280,Student_008,ASM002,Q0033,varies,True,,2025-08-26T00:00:00
R000281,Student_009,ASM002,Q0037,varies,True,,2025-08-26T00:00:00
R000282,Student_009,ASM002,Q0001,incorrect_arithmetic,False,arithmetic,2025-08-26T00:00:00
R000283,Student_009,ASM002,Q0048,varies,True,,2025-08-26T00:00:00
R000284,Student_009,ASM002,Q0056,incorrect_careless,False,careless,2025-08-26T00:00:00
R000285,Student_009,ASM002,Q0024,varies,True,,2025-08-26T00:00:00
R000286,Student_009,ASM002,Q0047,varies,True,,2025-08-26T00:00:00
R000287,Student_009,ASM002,Q0036,varies,True,,2025-08-26T00:00:00
R000288,Student_009,ASM002,Q0029,varies,True,,2025-08-26T00:00:00
R000289,Student_009,ASM002,Q0050,incorrect_careless,False,careless,2025-08-26T00:00:00
R000290,Student_009,ASM002,Q0033,varies,True,,2025-08-26T00:00:00
R000291,Student_010,ASM002,Q0037,incorrect_conceptual,False,conceptual,2025-08-26T00:00:00
R000292,Student_010,ASM002,Q0001,varies,True,,2025-08-26T00:00:00
R000293,Student_010,ASM002,Q0048,varies,True,,2025-08-26T00:00:00
R000294,Student_010,ASM002,Q0056,varies,True,,2025-08-26T00:00:00
R000295,Student_010,ASM002,Q0024,varies,True,,2025-08-26T00:00:00
R000296,Student_010,ASM002,Q0047,varies,True,,2025-08-26T00:00:00
R000297,Student_010,ASM002,Q0036,varies,True,,2025-08-26T00:00:00
R000298,Student_010,ASM002,Q0029,varies,True,,2025-08-26T00:00:00
R000299,Student_010,ASM002,Q0050,varies,True,,2025-08-26T00:00:00
R000300,Student_010,ASM002,Q0033,varies,True,,2025-08-26T00:00:00
R000301,Student_011,ASM002,Q0037,varies,True,,2025-08-26T00:00:00
R000302,Student_011,ASM002,Q0001,varies,True,,2025-08-26T00:00:00
R000303,Student_011,ASM002,Q0048,varies,True,,2025-08-26T00:00:00
R000304,Student_011,ASM002,Q0056,varies,True,,2025-08-26T00:00:00
R000305,Student_011,ASM002,Q0024,varies,True,,2025-08-26T00:00:00
R000306,Student_011,ASM002,Q0047,varies,True,,2025-08-26T00:00:00
R000307,Student_011,ASM002,Q0036,varies,True,,2025-08-26T00:00:00
R000308,Student_011,ASM002,Q0029,varies,True,,2025-08-26T00:00:00
R000309,Student_011,ASM002,Q0050,varies,True,,2025-08-26T00:00:00
R000310,Student_011,ASM002,Q0033,varies,True,,2025-08-26T00:00:00
R000311,Student_012,ASM002,Q0037,varies,True,,2025-08-26T00:00:00
R000312,Student_012,ASM002,Q0001,varies,True,,2025-08-26T00:00:00
R000313,Student_012,ASM002,Q0048,varies,True,,2025-08-26T00:00:00
R000314,Student_012,ASM002,Q0056,varies,True,,2025-08-26T00:00:00
R000315,Student_012,ASM002,Q0024,varies,True,,2025-08-26T00:00:00
R000316,Student_012,ASM002,Q0047,varies,True,,2025-08-26T00:00:00
R000317,Student_012,ASM002,Q0036,incorrect_careless,False,careless,2025-08-26T00:00:00
R000318,Student_012,ASM002,Q0029,varies,True,,2025-08-26T00:00:00
R000319,Student_012,ASM002,Q0050,varies,True,,2025-08-26T00:00:00
R000320,Student_012,ASM002,Q0033,varies,True,,2025-08-26T00:00:00
R000321,Student_013,ASM002,Q0037,varies,True,,2025-08-26T00:00:00
R000322,Student_013,ASM002,Q0001,varies,True,,2025-08-26T00:00:00
R000323,Student_013,ASM002,Q0048,varies,True,,2025-08-26T00:00:00
R000324,Student_013,ASM002,Q0056,varies,True,,2025-08-26T00:00:00
R000325,Student_013,ASM002,Q0024,varies,True,,2025-08-26T00:00:00
R000326,Student_013,ASM002,Q0047,varies,True,,2025-08-26T00:00:00
R000327,Student_013,ASM002,Q0036,incorrect_arithmetic,False,arithmetic,2025-08-26T00:00:00
R000328,Student_013,ASM002,Q0029,varies,True,,2025-08-26T00:00:00
R000329,Student_013,ASM002,Q0050,varies,True,,2025-08-26T00:00:00
R000330,Student_013,ASM002,Q0033,incorrect_arithmetic,False,arithmetic,2025-08-26T00:00:00
R000331,Student_014,ASM002,Q0037,varies,True,,2025-08-26T00:00:00
R000332,Student_014,ASM002,Q0001,varies,True,,2025-08-26T00:00:00
R000333,Student_014,ASM002,Q0048,varies,True,,2025-08-26T00:00:00
R000334,Student_014,ASM002,Q0056,varies,True,,2025-08-26T00:00:00
R000335,Student_014,ASM002,Q0024,varies,True,,2025-08-26T00:00:00
R000336,Student_014,ASM002,Q0047,varies,True,,2025-08-26T00:00:00
R000337,Student_014,ASM002,Q0036,varies,True,,2025-08-26T00:00:00
R000338,Student_014,ASM002,Q0029,incorrect_conceptual,False,conceptual,2025-08-26T00:00:00
R000339,Student_014,ASM002,Q0050,incorrect_arithmetic,False,arithmetic,2025-08-26T00:00:00
R000340,Student_014,ASM002,Q0033,varies,True,,2025-08-26T00:00:00
R000341,Student_015,ASM002,Q0037,varies,True,,2025-08-26T00:00:00
R000342,Student_015,ASM002,Q0001,varies,True,,2025-08-26T00:00:00
R000343,Student_015,ASM002,Q0048,varies,True,,2025-08-26T00:00:00
R000344,Student_015,ASM002,Q0056,varies,True,,2025-08-26T00:00:00
R000345,Student_015,ASM002,Q0024,varies,True,,2025-08-26T00:00:00
